Time Stamp,pos X,pos Y,speed X,speed Y
231,392.28099338987727,502.81951853575754,5,-5
232,397.28099338987727,497.81951853575754,5,-5
233,402.28099338987727,492.81951853575754,5,-5
234,407.28099338987727,487.81951853575754,5,-5
235,412.28099338987727,482.81951853575754,5,-5
236,417.28099338987727,477.81951853575754,5,-5
237,422.28099338987727,472.81951853575754,5,-5
238,427.28099338987727,467.81951853575754,5,-5
239,432.28099338987727,462.81951853575754,5,-5
240,437.28099338987727,457.81951853575754,5,-5
241,442.28099338987727,452.81951853575754,5,-5
242,447.28099338987727,447.81951853575754,5,-5
243,452.28099338987727,442.81951853575754,5,-5
244,457.28099338987727,437.81951853575754,5,-5
245,462.28099338987727,432.81951853575754,5,-5
246,467.28099338987727,427.81951853575754,5,-5
247,472.28099338987727,422.81951853575754,5,-5
248,477.28099338987727,417.81951853575754,5,-5
249,482.28099338987727,412.81951853575754,5,-5
250,487.28099338987727,407.81951853575754,5,-5
251,492.28099338987727,402.81951853575754,5,-5
252,497.28099338987727,397.81951853575754,5,-5
253,502.28099338987727,392.81951853575754,5,-5
254,507.28099338987727,387.81951853575754,5,-5
255,512.2809933898773,382.81951853575754,5,-5
256,517.2809933898773,377.81951853575754,5,-5
257,522.2809933898773,372.81951853575754,5,-5
258,527.2809933898773,367.81951853575754,5,-5
259,532.2809933898773,362.81951853575754,5,-5
260,537.2809933898773,357.81951853575754,5,-5
261,542.2809933898773,352.81951853575754,5,-5
262,547.2809933898773,347.81951853575754,5,-5
263,552.2809933898773,342.81951853575754,5,-5
264,557.2809933898773,337.81951853575754,5,-5
265,562.2809933898773,332.81951853575754,5,-5
266,567.2809933898773,327.81951853575754,5,-5
267,572.2809933898773,322.83042878090396,5,-4.989089754853576
268,577.2809933898773,317.8880668656107,5,-4.942361915293221
269,582.2809933898773,313.0292696937013,5,-4.858797171909426
270,587.2809933898773,308.29175612889486,5,-4.737513564806407
271,592.2809933898773,303.7139762463268,5,-4.577779882568059
272,597.2809933898773,299.33493863104854,5,-4.379037615278246
273,602.2809933898773,295.1940071876342,5,-4.140931443414353
274,607.2809933898773,291.3306641249214,5,-3.8633430627128478
275,612.2809933898773,287.78424578436255,5,-3.5464183405588403
276,617.2809933898773,284.59367053115375,5,-3.1905752532088107
277,622.2809933898773,281.79718978293306,5,-2.7964807482207092
278,627.2809933898773,279.43220151295384,5,-2.3649882699792295
279,632.2809933898773,277.53516865293597,5,-1.897032860017874
280,637.2809933898773,276.14168263887655,5,-1.3934860140594223
281,642.2809933898773,275.28670581184423,5,-0.8549768270323286
282,647.2809933898773,275.00501702062155,5,-0.2816887912226559
283,652.2809933898773,275.3318751679442,5,0.3268581473226211
284,657.2809933898773,276.3039116884087,5,0.972036520464504
285,662.2809933898773,277.9602807753252,5,1.656369086916523
286,667.2809933898773,280.34417471851646,5,2.383893943191225
287,672.2809933898773,283.5050424667042,5,3.1608677481877234
288,677.2809933898773,287.50242610266844,5,3.9973836359642227
289,682.2809933898773,292.4113913919347,5,4.9089652892662725
290,687.2809933898773,297.4113913919347,5,5
291,692.2809933898773,302.4113913919347,5,5
292,697.2809933898773,307.4113913919347,5,5
293,702.2809933898773,312.4113913919347,5,5
294,707.2809933898773,317.4113913919347,5,5
295,712.2809933898773,322.4113913919347,5,5
296,717.2809933898773,327.4113913919347,5,5
297,722.2809933898773,332.4113913919347,5,5
298,727.2809933898773,337.4113913919347,5,5
299,732.2809933898773,342.4113913919347,5,5
300,737.2809933898773,347.4113913919347,5,5
301,742.2809933898773,352.4113913919347,5,5
302,747.2809933898773,357.4113913919347,5,5
303,752.2809933898773,362.4113913919347,5,5
304,757.2809933898773,367.4113913919347,5,5
305,762.2809933898773,372.4113913919347,5,5
306,767.2809933898773,377.4113913919347,5,5
307,772.2809933898773,382.4113913919347,5,5
308,777.2809933898773,387.4113913919347,5,5
309,782.2809933898773,392.4113913919347,5,5
310,787.2809933898773,397.4113913919347,5,5
311,792.2809933898773,402.4113913919347,5,5
312,797.2809933898773,407.4113913919347,5,5
313,802.2809933898773,412.4113913919347,5,5
314,807.2809933898773,417.4113913919347,5,5
315,812.2809933898773,422.4113913919347,5,5
316,817.2809933898773,427.4113913919347,5,5
317,822.2809933898773,432.4113913919347,5,5
318,827.2809933898773,437.4113913919347,5,5
319,832.2809933898773,442.4113913919347,5,5
320,837.2809933898773,447.4113913919347,5,5
321,842.2809933898773,452.4113913919347,5,5
322,847.2809933898773,457.4113913919347,5,5
323,852.2809933898773,462.4113913919347,5,5
324,857.2809933898773,467.4113913919347,5,5
325,862.2809933898773,472.4113913919347,5,5
326,867.2809933898773,477.4113913919347,5,5
327,872.2809933898773,482.4113913919347,5,5
328,877.2809933898773,487.4113913919347,5,5
329,882.2809933898773,492.4113913919347,5,5
330,887.2809933898773,497.4113913919347,5,5
331,892.2809933898773,502.4113913919347,5,5
332,897.2809933898773,507.4113913919347,5,5
333,902.2809933898773,512.4113913919348,5,5
334,907.2809933898773,517.4113913919348,5,5
335,912.2809933898773,522.4113913919348,5,5
336,917.2809933898773,527.4113913919348,5,5
337,922.2809933898773,532.4113913919348,5,5
338,927.2809933898773,537.4113913919348,5,5
339,932.2809933898773,542.4113913919348,5,5
340,937.2809933898773,547.4113913919348,5,5
341,942.2809933898773,552.4113913919348,5,5
342,947.2809933898773,557.4113913919348,5,5
343,950.287225985206,562.2536208748211,3.0062325953287115,4.842229482886334
344,951.4924652432478,566.2261245393897,1.2052392580418634,3.9725036645686407
345,951.0753041539139,569.029091067808,-0.4171610893339781,2.8029665284182963
346,949.2599325424211,570.4020200667452,-1.8153716114927712,1.3729289989371867
347,946.1267147702838,570.270528414111,-3.133217772137311,-0.13149165263418983
348,941.4574795784521,568.8581579669005,-4.669235191831711,-1.4123704472105378
349,936.4574795784521,566.4605364731085,-5,-2.397621493792053
350,931.4574795784521,563.1682347304063,-5,-3.2923017427022487
351,926.4574795784521,558.9544079417241,-5,-4.213826788682274
352,921.4574795784521,553.9544079417241,-5,-5
353,916.4574795784521,548.9544079417241,-5,-5
354,911.4574795784521,543.9544079417241,-5,-5
355,906.4574795784521,538.9544079417241,-5,-5
356,901.4574795784521,533.9544079417241,-5,-5
357,896.4574795784521,528.9544079417241,-5,-5
358,891.4574795784521,523.9544079417241,-5,-5
359,886.4574795784521,518.9544079417241,-5,-5
360,881.4574795784521,513.9544079417241,-5,-5
361,876.4574795784521,508.95440794172407,-5,-5
362,871.4574795784521,503.95440794172407,-5,-5
363,866.4574795784521,498.95440794172407,-5,-5
364,861.4574795784521,493.95440794172407,-5,-5
365,856.4574795784521,488.95440794172407,-5,-5
366,851.4574795784521,483.95440794172407,-5,-5
367,846.4574795784521,478.95440794172407,-5,-5
368,841.4574795784521,473.95440794172407,-5,-5
369,836.4574795784521,468.95440794172407,-5,-5
370,831.4574795784521,463.95440794172407,-5,-5
371,826.4574795784521,458.95440794172407,-5,-5
